 CDTJune/22/2021 12:52:26:348,sleep:0.0
 CDTJune/22/2021 12:52:26:350,noise:52
 CDTJune/22/2021 12:52:26:353,blood_o2:96.0
 CDTJune/22/2021 12:52:27:585,heart_rate:74.0
 CDTJune/22/2021 12:54:00:953,heart_rate:63.0
 CDTJune/22/2021 12:55:10:685,location:29.585602 -98.619560
 CDTJune/22/2021 12:55:10:750,sleep:0.0
 CDTJune/22/2021 12:55:10:873,blood_o2:96.0
 CDTJune/22/2021 12:55:10:25,noise:52
 CDTJune/22/2021 12:55:11:713,heart_rate:69.0
 CDTJune/22/2021 13:03:50:174,xyz_acc:-0.02 -0.531 -0.845
 CDTJune/22/2021 13:06:59:762,xyz_acc:-0.164 -0.231 -1.106
 CDTJune/22/2021 13:06:59:776,resultant_acc:1.142
 CDTJune/22/2021 13:06:59:948,xyz_acc:-0.112 -0.353 -0.948
 CDTJune/22/2021 13:06:59:950,resultant_acc:1.018
 CDTJune/22/2021 13:06:59:997,xyz_acc:-0.108 -0.333 -0.939
 CDTJune/22/2021 13:07:00:694,resultant_acc:1.002
 CDTJune/22/2021 13:07:00:697,xyz_acc:-0.122 -0.308 -0.937
 CDTJune/22/2021 13:07:00:699,resultant_acc:0.994
 CDTJune/22/2021 13:07:00:804,xyz_acc:-0.11 -0.327 -0.926
 CDTJune/22/2021 13:07:00:807,resultant_acc:0.988
 CDTJune/22/2021 13:07:00:808,xyz_acc:-0.118 -0.306 -0.932
 CDTJune/22/2021 13:07:00:840,resultant_acc:0.988
 CDTJune/22/2021 13:07:00:24,xyz_acc:-0.101 -0.316 -0.946
 CDTJune/22/2021 13:07:00:27,resultant_acc:1.002
 CDTJune/22/2021 13:07:00:28,xyz_acc:-0.116 -0.325 -0.945
 CDTJune/22/2021 13:07:00:71,resultant_acc:1.006
 CDTJune/22/2021 13:07:00:73,xyz_acc:-0.108 -0.312 -0.952
 CDTJune/22/2021 13:07:00:74,resultant_acc:1.008
 CDTJune/22/2021 13:07:00:108,xyz_acc:-0.12 -0.319 -0.939
 CDTJune/22/2021 13:07:00:109,resultant_acc:0.999
 CDTJune/22/2021 13:07:00:188,xyz_acc:-0.111 -0.322 -0.941
 CDTJune/22/2021 13:07:00:206,resultant_acc:1.001
 CDTJune/22/2021 13:07:00:209,xyz_acc:-0.111 -0.323 -0.936
 CDTJune/22/2021 13:07:00:210,resultant_acc:0.996
 CDTJune/22/2021 13:07:00:307,xyz_acc:-0.111 -0.316 -0.938
 CDTJune/22/2021 13:07:00:308,resultant_acc:0.996
 CDTJune/22/2021 13:07:00:309,xyz_acc:-0.111 -0.308 -0.945
 CDTJune/22/2021 13:07:00:347,resultant_acc:1.0
 CDTJune/22/2021 13:07:00:355,xyz_acc:-0.114 -0.321 -0.938
 CDTJune/22/2021 13:07:01:434,resultant_acc:0.998
 CDTJune/22/2021 13:07:01:449,xyz_acc:-0.112 -0.319 -0.941
 CDTJune/22/2021 13:07:01:450,resultant_acc:1.0
 CDTJune/22/2021 13:07:01:451,xyz_acc:-0.116 -0.311 -0.937
 CDTJune/22/2021 13:07:01:490,resultant_acc:0.994
 CDTJune/22/2021 13:07:01:524,xyz_acc:-0.114 -0.317 -0.93
 CDTJune/22/2021 13:07:01:528,resultant_acc:0.989
 CDTJune/22/2021 13:07:01:532,xyz_acc:-0.119 -0.316 -0.935
 CDTJune/22/2021 13:07:01:533,resultant_acc:0.994
 CDTJune/22/2021 13:07:01:534,xyz_acc:-0.11 -0.311 -0.943
 CDTJune/22/2021 13:07:01:674,resultant_acc:0.999
 CDTJune/22/2021 13:07:01:675,xyz_acc:-0.11 -0.312 -0.945
 CDTJune/22/2021 13:07:01:676,resultant_acc:1.001
 CDTJune/22/2021 13:07:01:772,xyz_acc:-0.113 -0.317 -0.943
 CDTJune/22/2021 13:07:01:773,resultant_acc:1.001
 CDTJune/22/2021 13:07:01:897,xyz_acc:-0.113 -0.315 -0.934
 CDTJune/22/2021 13:07:01:900,resultant_acc:0.992
 CDTJune/22/2021 13:07:01:903,xyz_acc:-0.11 -0.304 -0.945
 CDTJune/22/2021 13:07:01:905,resultant_acc:0.999
 CDTJune/22/2021 13:07:01:906,xyz_acc:-0.118 -0.311 -0.942
 CDTJune/22/2021 13:07:01:911,resultant_acc:0.999
 CDTJune/22/2021 13:07:01:914,xyz_acc:-0.108 -0.309 -0.94
 CDTJune/22/2021 13:07:01:915,resultant_acc:0.995
 CDTJune/22/2021 13:07:01:916,xyz_acc:-0.112 -0.304 -0.937
 CDTJune/22/2021 13:07:01:917,resultant_acc:0.991
 CDTJune/22/2021 13:07:01:60,xyz_acc:-0.112 -0.306 -0.947
 CDTJune/22/2021 13:07:01:60,resultant_acc:1.001
 CDTJune/22/2021 13:07:01:61,xyz_acc:-0.118 -0.31 -0.941
 CDTJune/22/2021 13:07:01:80,resultant_acc:0.998
 CDTJune/22/2021 13:07:01:82,xyz_acc:-0.107 -0.314 -0.949
 CDTJune/22/2021 13:07:01:83,resultant_acc:1.005
 CDTJune/22/2021 13:07:01:85,xyz_acc:-0.111 -0.307 -0.942
 CDTJune/22/2021 13:07:01:86,resultant_acc:0.997
 CDTJune/22/2021 13:07:01:87,xyz_acc:-0.114 -0.304 -0.941
 CDTJune/22/2021 13:07:01:137,resultant_acc:0.995
 CDTJune/22/2021 13:07:01:271,xyz_acc:-0.109 -0.29 -0.949
 CDTJune/22/2021 13:07:01:272,resultant_acc:0.998
 CDTJune/22/2021 13:07:01:273,xyz_acc:-0.115 -0.298 -0.944
 CDTJune/22/2021 13:07:01:273,resultant_acc:0.997
 CDTJune/22/2021 13:07:01:274,xyz_acc:-0.103 -0.305 -0.955
 CDTJune/22/2021 13:07:01:275,resultant_acc:1.008
 CDTJune/22/2021 13:07:01:277,xyz_acc:-0.116 -0.296 -0.952
 CDTJune/22/2021 13:07:01:279,resultant_acc:1.004
 CDTJune/22/2021 13:07:01:339,xyz_acc:-0.112 -0.291 -0.942
 CDTJune/22/2021 13:07:01:340,resultant_acc:0.992
 CDTJune/22/2021 13:07:02:419,xyz_acc:-0.124 -0.295 -0.955
 CDTJune/22/2021 13:07:02:508,resultant_acc:1.007
 CDTJune/22/2021 13:07:02:511,xyz_acc:-0.122 -0.298 -0.943
 CDTJune/22/2021 13:07:02:512,resultant_acc:0.996
 CDTJune/22/2021 13:07:02:601,xyz_acc:-0.12 -0.284 -0.943
 CDTJune/22/2021 13:07:02:680,resultant_acc:0.992
 CDTJune/22/2021 13:07:02:720,xyz_acc:-0.123 -0.271 -0.951
 CDTJune/22/2021 13:07:02:728,resultant_acc:0.996
 CDTJune/22/2021 13:07:02:798,xyz_acc:-0.121 -0.266 -0.953
 CDTJune/22/2021 13:07:02:854,resultant_acc:0.997
 CDTJune/22/2021 13:07:02:953,xyz_acc:-0.112 -0.271 -0.947
 CDTJune/22/2021 13:07:02:976,resultant_acc:0.991
 CDTJune/22/2021 13:07:02:69,xyz_acc:-0.113 -0.272 -0.952
 CDTJune/22/2021 13:07:02:71,resultant_acc:0.997
 CDTJune/22/2021 13:07:02:134,xyz_acc:-0.111 -0.271 -0.951
 CDTJune/22/2021 13:07:02:148,resultant_acc:0.995
 CDTJune/22/2021 13:07:02:236,xyz_acc:-0.117 -0.26 -0.956
 CDTJune/22/2021 13:07:02:242,resultant_acc:0.998
 CDTJune/22/2021 13:07:02:322,xyz_acc:-0.067 -0.272 -0.943
 CDTJune/22/2021 13:07:02:323,resultant_acc:0.984
 CDTJune/22/2021 13:07:02:401,xyz_acc:-0.113 -0.247 -0.972
 CDTJune/22/2021 13:07:02:402,resultant_acc:1.009
 CDTJune/22/2021 13:07:03:594,xyz_acc:-0.115 -0.241 -0.97
 CDTJune/22/2021 13:07:03:596,resultant_acc:1.006
 CDTJune/22/2021 13:07:03:671,xyz_acc:-0.105 -0.272 -0.951
 CDTJune/22/2021 13:07:03:673,resultant_acc:0.995
 CDTJune/22/2021 13:07:03:692,xyz_acc:-0.105 -0.255 -0.947
 CDTJune/22/2021 13:07:03:752,resultant_acc:0.986
 CDTJune/22/2021 13:07:03:845,xyz_acc:-0.113 -0.263 -0.959
 CDTJune/22/2021 13:07:03:850,resultant_acc:1.001
 CDTJune/22/2021 13:07:03:41,xyz_acc:-0.106 -0.248 -0.964
 CDTJune/22/2021 13:07:03:48,resultant_acc:1.001
 CDTJune/22/2021 13:07:03:152,xyz_acc:-0.105 -0.264 -0.952
 CDTJune/22/2021 13:07:04:416,resultant_acc:0.993
 CDTJune/22/2021 14:17:38:414,xyz_acc:-0.195 -0.525 -1.018
 CDTJune/22/2021 14:17:38:522,resultant_acc:1.162
 CDTJune/22/2021 14:17:38:582,xyz_acc:-0.161 -0.49 -0.818
 CDTJune/22/2021 14:17:38:587,resultant_acc:0.967
 CDTJune/22/2021 14:17:38:597,xyz_acc:-0.13 -0.52 -0.901
 CDTJune/22/2021 14:17:38:599,resultant_acc:1.048
 CDTJune/22/2021 14:17:38:602,xyz_acc:-0.143 -0.506 -0.841
 CDTJune/22/2021 14:17:38:604,resultant_acc:0.992
 CDTJune/22/2021 14:17:38:606,xyz_acc:-0.151 -0.508 -0.842
 CDTJune/22/2021 14:17:38:626,resultant_acc:0.995
 CDTJune/22/2021 14:17:38:628,xyz_acc:-0.128 -0.506 -0.862
 CDTJune/22/2021 14:17:38:772,resultant_acc:1.008
 CDTJune/22/2021 14:17:38:774,xyz_acc:-0.149 -0.503 -0.841
 CDTJune/22/2021 14:17:38:777,resultant_acc:0.991
 CDTJune/22/2021 14:17:38:779,xyz_acc:-0.14 -0.503 -0.841
 CDTJune/22/2021 14:17:38:818,resultant_acc:0.99
 CDTJune/22/2021 14:17:38:821,xyz_acc:-0.134 -0.499 -0.855
 CDTJune/22/2021 14:17:38:827,resultant_acc:0.999
 CDTJune/22/2021 14:17:38:831,xyz_acc:-0.138 -0.507 -0.854
 CDTJune/22/2021 14:17:38:848,resultant_acc:1.003
 CDTJune/22/2021 14:17:38:892,xyz_acc:-0.143 -0.485 -0.853
 CDTJune/22/2021 14:17:38:908,resultant_acc:0.992
 CDTJune/22/2021 14:17:38:59,xyz_acc:-0.14 -0.489 -0.868
 CDTJune/22/2021 14:17:38:81,resultant_acc:1.006
 CDTJune/22/2021 14:17:38:83,xyz_acc:-0.141 -0.506 -0.85
 CDTJune/22/2021 14:17:38:91,resultant_acc:0.999
 CDTJune/22/2021 14:17:38:93,xyz_acc:-0.142 -0.497 -0.851
 CDTJune/22/2021 14:17:38:101,resultant_acc:0.996
 CDTJune/22/2021 14:17:38:103,xyz_acc:-0.137 -0.487 -0.857
 CDTJune/22/2021 14:17:38:104,resultant_acc:0.995
 CDTJune/22/2021 14:17:38:111,xyz_acc:-0.139 -0.49 -0.864
 CDTJune/22/2021 14:17:38:176,resultant_acc:1.003
 CDTJune/22/2021 14:17:38:190,xyz_acc:-0.135 -0.488 -0.873
 CDTJune/22/2021 14:17:38:191,resultant_acc:1.009
 CDTJune/22/2021 14:17:39:377,xyz_acc:-0.146 -0.481 -0.856
 CDTJune/22/2021 14:17:39:378,resultant_acc:0.993
 CDTJune/22/2021 14:17:39:399,xyz_acc:-0.131 -0.477 -0.858
 CDTJune/22/2021 14:17:39:402,resultant_acc:0.99
 CDTJune/22/2021 14:17:39:511,xyz_acc:-0.137 -0.487 -0.863
 CDTJune/22/2021 14:17:39:526,resultant_acc:1.0
 CDTJune/22/2021 14:17:39:648,xyz_acc:-0.135 -0.477 -0.87
 CDTJune/22/2021 14:17:39:686,resultant_acc:1.001
 CDTJune/22/2021 14:17:39:687,xyz_acc:-0.134 -0.477 -0.866
 CDTJune/22/2021 14:17:39:688,resultant_acc:0.998
 CDTJune/22/2021 14:17:39:800,xyz_acc:-0.136 -0.485 -0.865
 CDTJune/22/2021 14:17:39:858,resultant_acc:1.001
 CDTJune/22/2021 14:17:39:887,xyz_acc:-0.127 -0.47 -0.875
 CDTJune/22/2021 14:17:39:923,resultant_acc:1.001
 CDTJune/22/2021 14:17:39:199,xyz_acc:-0.134 -0.484 -0.858
 CDTJune/22/2021 14:17:39:226,resultant_acc:0.994
 CDTJune/22/2021 14:17:39:236,xyz_acc:-0.155 0.036 -0.909
 CDTJune/22/2021 14:17:39:248,resultant_acc:0.923
 CDTJune/22/2021 14:18:44:454,resultant_acc:0.997
 CDTJune/22/2021 14:18:44:574,resultant_acc:0.997
 CDTJune/22/2021 14:18:44:703,resultant_acc:1.002
 CDTJune/22/2021 14:18:44:789,resultant_acc:1.0
 CDTJune/22/2021 14:18:44:211,resultant_acc:0.999
 CDTJune/22/2021 14:18:44:213,resultant_acc:0.999
 CDTJune/22/2021 14:18:44:215,resultant_acc:0.998
 CDTJune/22/2021 14:18:44:217,resultant_acc:0.998
 CDTJune/22/2021 14:18:44:219,resultant_acc:0.998
 CDTJune/22/2021 14:18:44:233,resultant_acc:0.997
 CDTJune/22/2021 14:18:44:308,resultant_acc:1.002
 CDTJune/22/2021 14:18:44:313,resultant_acc:0.998
 CDTJune/22/2021 14:18:44:316,resultant_acc:0.995
 CDTJune/22/2021 14:18:44:317,resultant_acc:1.0
 CDTJune/22/2021 14:18:44:318,resultant_acc:1.001
 CDTJune/22/2021 14:18:45:363,resultant_acc:1.0
 CDTJune/22/2021 14:18:45:374,resultant_acc:1.001
 CDTJune/22/2021 14:18:45:389,resultant_acc:0.999
 CDTJune/22/2021 14:18:45:397,resultant_acc:1.001
 CDTJune/22/2021 14:18:45:404,resultant_acc:0.999
 CDTJune/22/2021 14:18:45:478,resultant_acc:0.999
 CDTJune/22/2021 14:18:45:563,resultant_acc:0.999
 CDTJune/22/2021 14:18:45:693,resultant_acc:0.999
 CDTJune/22/2021 14:18:45:772,resultant_acc:1.0
 CDTJune/22/2021 14:18:45:885,resultant_acc:0.999
 CDTJune/22/2021 14:18:45:995,resultant_acc:1.0
 CDTJune/22/2021 14:18:45:92,resultant_acc:1.0
 CDTJune/22/2021 14:18:45:202,resultant_acc:1.0
 CDTJune/22/2021 14:18:45:282,resultant_acc:1.0
 CDTJune/22/2021 14:18:46:367,resultant_acc:0.983
 CDTJune/22/2021 14:18:46:478,resultant_acc:0.998
 CDTJune/22/2021 14:18:46:600,resultant_acc:1.001
 CDTJune/22/2021 14:18:46:647,resultant_acc:1.001
 CDTJune/22/2021 14:18:46:773,resultant_acc:1.002
 CDTJune/22/2021 14:18:46:884,resultant_acc:1.0
 CDTJune/22/2021 14:18:46:988,resultant_acc:0.999
 CDTJune/22/2021 14:18:46:86,resultant_acc:1.004
 CDTJune/22/2021 14:18:46:208,resultant_acc:0.999
 CDTJune/22/2021 14:18:46:281,resultant_acc:0.999
 CDTJune/22/2021 14:18:47:373,resultant_acc:1.002
 CDTJune/22/2021 14:18:47:523,resultant_acc:1.001
 CDTJune/22/2021 14:18:47:573,resultant_acc:0.999
 CDTJune/22/2021 14:18:47:713,resultant_acc:0.998
 CDTJune/22/2021 14:18:47:755,resultant_acc:1.0
 CDTJune/22/2021 14:18:47:870,xyz_acc:-0.028 -0.451 -0.904
 CDTJune/22/2021 14:18:47:876,resultant_acc:1.011
 CDTJune/22/2021 14:18:47:961,xyz_acc:-0.029 -0.459 -0.889
 CDTJune/22/2021 14:18:47:968,resultant_acc:1.001
 CDTJune/22/2021 14:18:47:71,xyz_acc:-0.033 -0.451 -0.893
 CDTJune/22/2021 14:18:47:84,resultant_acc:1.001
 CDTJune/22/2021 14:18:47:162,xyz_acc:-0.028 -0.452 -0.888
 CDTJune/22/2021 14:18:47:168,resultant_acc:0.997
 CDTJune/22/2021 14:18:47:292,xyz_acc:-0.024 -0.459 -0.888
 CDTJune/22/2021 14:18:47:294,resultant_acc:1.0
 CDTJune/22/2021 14:18:48:405,xyz_acc:-0.026 -0.463 -0.887
 CDTJune/22/2021 14:18:48:407,resultant_acc:1.001
 CDTJune/22/2021 14:18:48:464,xyz_acc:-0.025 -0.452 -0.886
 CDTJune/22/2021 14:18:48:507,resultant_acc:0.995
 CDTJune/22/2021 14:18:48:574,xyz_acc:-0.029 -0.449 -0.891
 CDTJune/22/2021 14:18:48:594,resultant_acc:0.998
 CDTJune/22/2021 14:18:48:654,xyz_acc:-0.025 -0.45 -0.892
 CDTJune/22/2021 14:18:48:672,resultant_acc:0.999
 CDTJune/22/2021 14:18:48:772,xyz_acc:-0.025 -0.447 -0.891
 CDTJune/22/2021 14:18:48:774,resultant_acc:0.997
 CDTJune/22/2021 14:18:48:893,xyz_acc:-0.024 -0.442 -0.9
 CDTJune/22/2021 14:18:48:894,resultant_acc:1.003
 CDTJune/22/2021 14:18:48:953,xyz_acc:-0.026 -0.443 -0.893
 CDTJune/22/2021 14:18:48:966,resultant_acc:0.997
 CDTJune/22/2021 14:18:48:75,xyz_acc:-0.026 -0.445 -0.896
 CDTJune/22/2021 14:18:48:77,resultant_acc:1.001
 CDTJune/22/2021 14:18:48:162,xyz_acc:-0.024 -0.451 -0.893
 CDTJune/22/2021 14:18:48:219,resultant_acc:1.001
 CDTJune/22/2021 14:18:48:290,xyz_acc:-0.026 -0.451 -0.892
 CDTJune/22/2021 14:18:48:291,resultant_acc:1.0
 CDTJune/22/2021 14:18:49:378,xyz_acc:-0.023 -0.449 -0.896
 CDTJune/22/2021 14:18:49:379,resultant_acc:1.002
 CDTJune/22/2021 14:18:49:470,xyz_acc:-0.02 -0.445 -0.894
 CDTJune/22/2021 14:18:49:516,resultant_acc:0.999
 CDTJune/22/2021 14:18:49:583,xyz_acc:-0.022 -0.447 -0.893
 CDTJune/22/2021 14:18:49:585,resultant_acc:0.999
 CDTJune/22/2021 14:18:49:684,xyz_acc:-0.024 -0.451 -0.894
 CDTJune/22/2021 14:18:49:685,resultant_acc:1.002
 CDTJune/22/2021 14:18:49:783,xyz_acc:-0.024 -0.444 -0.894
 CDTJune/22/2021 14:18:49:785,resultant_acc:0.998
 CDTJune/22/2021 14:18:49:883,xyz_acc:-0.023 -0.447 -0.895
 CDTJune/22/2021 14:18:49:918,resultant_acc:1.001
 CDTJune/22/2021 14:18:49:974,xyz_acc:-0.024 -0.447 -0.893
 CDTJune/22/2021 14:18:49:92,resultant_acc:0.999
 CDTJune/22/2021 14:18:49:200,xyz_acc:-0.022 -0.441 -0.896
 CDTJune/22/2021 14:18:49:202,resultant_acc:0.999
 CDTJune/22/2021 14:18:49:204,xyz_acc:-0.022 -0.438 -0.899
 CDTJune/22/2021 14:18:49:262,resultant_acc:1.0
 CDTJune/22/2021 14:18:49:264,xyz_acc:-0.02 -0.437 -0.898
 CDTJune/22/2021 14:18:50:363,resultant_acc:0.999
 CDTJune/22/2021 14:18:50:611,xyz_acc:-0.025 -0.44 -0.898
 CDTJune/22/2021 14:18:50:662,xyz_acc:-0.027 -0.432 -0.9
 CDTJune/22/2021 14:18:50:853,xyz_acc:-0.024 -0.438 -0.901
 CDTJune/22/2021 14:18:50:874,xyz_acc:-0.02 -0.438 -0.9
 CDTJune/22/2021 14:20:14:549,xyz_acc:0.02 -0.713 -0.797
 CDTJune/22/2021 14:20:14:635,xyz_acc:0.02 -0.713 -0.797
 CDTJune/22/2021 14:20:14:759,xyz_acc:-0.098 -0.464 -0.855
 CDTJune/22/2021 14:20:14:764,xyz_acc:-0.076 -0.463 -0.891
 CDTJune/22/2021 14:20:14:789,xyz_acc:-0.068 -0.48 -0.881
 CDTJune/22/2021 14:20:14:138,xyz_acc:-0.034 -0.476 -0.892
 CDTJune/22/2021 14:20:14:160,xyz_acc:-0.147 -0.444 -0.88
 CDTJune/22/2021 14:20:14:163,xyz_acc:-0.058 -0.45 -0.916
 CDTJune/22/2021 14:20:14:206,xyz_acc:-0.1 -0.465 -0.84
 CDTJune/22/2021 14:20:14:214,xyz_acc:-0.073 -0.455 -0.926
 CDTJune/22/2021 14:20:14:242,xyz_acc:-0.13 -0.429 -0.854
 CDTJune/22/2021 14:20:14:252,xyz_acc:-0.07 -0.441 -0.923
 CDTJune/22/2021 14:20:14:271,xyz_acc:-0.074 -0.443 -0.872
 CDTJune/22/2021 14:20:14:313,xyz_acc:-0.091 -0.442 -0.902
 CDTJune/22/2021 14:20:15:323,xyz_acc:-0.098 -0.413 -0.882
 CDTJune/22/2021 14:20:15:324,xyz_acc:-0.096 -0.426 -0.914
 CDTJune/22/2021 14:20:15:381,xyz_acc:-0.085 -0.439 -0.89
 CDTJune/22/2021 14:20:15:386,xyz_acc:-0.095 -0.435 -0.896
 CDTJune/22/2021 14:20:15:387,xyz_acc:-0.093 -0.432 -0.897
 CDTJune/22/2021 14:20:15:422,xyz_acc:-0.092 -0.435 -0.894
 CDTJune/22/2021 14:20:15:560,xyz_acc:-0.082 -0.441 -0.895
 CDTJune/22/2021 14:20:15:685,xyz_acc:-0.092 -0.426 -0.896
 CDTJune/22/2021 14:20:15:755,xyz_acc:-0.094 -0.434 -0.894
 CDTJune/22/2021 14:20:15:880,xyz_acc:-0.09 -0.432 -0.898
 CDTJune/22/2021 14:20:15:985,xyz_acc:-0.09 -0.426 -0.899
 CDTJune/22/2021 14:20:15:82,xyz_acc:-0.091 -0.432 -0.891
 CDTJune/22/2021 14:20:15:150,xyz_acc:-0.095 -0.435 -0.896
 CDTJune/22/2021 14:20:15:240,xyz_acc:-0.088 -0.432 -0.89
 CDTJune/22/2021 14:20:16:341,xyz_acc:-0.073 -0.438 -0.905
 CDTJune/22/2021 14:20:16:438,xyz_acc:-0.101 -0.429 -0.881
 CDTJune/22/2021 14:20:16:556,xyz_acc:-0.084 -0.448 -0.893
 CDTJune/22/2021 14:20:16:682,xyz_acc:-0.1 -0.444 -0.883
 CDTJune/22/2021 14:20:16:735,xyz_acc:-0.103 -0.444 -0.886
 CDTJune/22/2021 14:20:16:828,xyz_acc:-0.085 -0.452 -0.892
 CDTJune/22/2021 14:20:16:950,xyz_acc:-0.094 -0.437 -0.892
 CDTJune/22/2021 14:20:16:136,xyz_acc:-0.093 -0.437 -0.898
 CDTJune/22/2021 14:20:16:147,xyz_acc:-0.097 -0.439 -0.889
 CDTJune/22/2021 14:20:16:298,xyz_acc:-0.094 -0.439 -0.896
 CDTJune/22/2021 14:20:17:433,xyz_acc:-0.093 -0.444 -0.892
 CDTJune/22/2021 14:20:17:501,xyz_acc:-0.095 -0.439 -0.892
 CDTJune/22/2021 14:20:17:550,xyz_acc:-0.092 -0.439 -0.89
 CDTJune/22/2021 14:20:17:630,xyz_acc:-0.095 -0.44 -0.885
 CDTJune/22/2021 14:20:17:732,xyz_acc:-0.096 -0.434 -0.897
 CDTJune/22/2021 14:20:17:835,xyz_acc:-0.095 -0.441 -0.891
 CDTJune/22/2021 14:20:17:938,xyz_acc:-0.096 -0.437 -0.891
 CDTJune/22/2021 14:20:17:110,xyz_acc:-0.09 -0.435 -0.897
 CDTJune/22/2021 14:20:17:141,xyz_acc:-0.095 -0.437 -0.892
 CDTJune/22/2021 14:20:17:251,xyz_acc:-0.094 -0.442 -0.892
 CDTJune/22/2021 14:20:18:362,xyz_acc:-0.095 -0.441 -0.886
 CDTJune/22/2021 14:20:18:450,xyz_acc:-0.091 -0.438 -0.899
 CDTJune/22/2021 14:20:18:551,xyz_acc:-0.093 -0.434 -0.892
 CDTJune/22/2021 14:20:18:641,xyz_acc:-0.096 -0.442 -0.892
 CDTJune/22/2021 14:20:18:742,xyz_acc:-0.095 -0.44 -0.901
 CDTJune/22/2021 14:20:18:838,xyz_acc:-0.097 -0.439 -0.889
 CDTJune/22/2021 14:20:18:947,xyz_acc:-0.097 -0.437 -0.886
 CDTJune/22/2021 14:20:18:46,xyz_acc:-0.094 -0.434 -0.899
 CDTJune/22/2021 14:20:18:167,xyz_acc:-0.092 -0.435 -0.894
 CDTJune/22/2021 14:20:18:299,xyz_acc:-0.095 -0.436 -0.895
 CDTJune/22/2021 14:20:19:326,xyz_acc:-0.095 -0.434 -0.897
 CDTJune/22/2021 14:20:19:432,xyz_acc:-0.097 -0.443 -0.889
 CDTJune/22/2021 14:20:19:585,xyz_acc:-0.092 -0.437 -0.897
 CDTJune/22/2021 14:20:19:646,xyz_acc:-0.094 -0.436 -0.888
 CDTJune/22/2021 14:20:19:789,xyz_acc:-0.097 -0.435 -0.898
 CDTJune/22/2021 14:20:19:829,xyz_acc:-0.094 -0.435 -0.897
 CDTJune/22/2021 14:20:19:948,xyz_acc:-0.095 -0.436 -0.891
 CDTJune/22/2021 14:20:19:64,xyz_acc:-0.095 -0.439 -0.895
 CDTJune/22/2021 14:20:19:142,xyz_acc:-0.092 -0.44 -0.895
 CDTJune/22/2021 14:20:19:251,xyz_acc:-0.096 -0.436 -0.895
 CDTJune/22/2021 14:20:20:340,xyz_acc:-0.1 -0.439 -0.892
 CDTJune/22/2021 14:20:20:464,xyz_acc:-0.095 -0.44 -0.897
 CDTJune/22/2021 14:20:20:554,xyz_acc:-0.092 -0.443 -0.891
 CDTJune/22/2021 14:20:20:653,xyz_acc:-0.098 -0.433 -0.89
 CDTJune/22/2021 14:20:20:829,xyz_acc:-0.094 -0.436 -0.898
 CDTJune/22/2021 14:20:20:910,xyz_acc:-0.091 -0.44 -0.9
 CDTJune/22/2021 14:20:20:88,xyz_acc:-0.093 -0.436 -0.888
 CDTJune/22/2021 14:20:20:144,xyz_acc:-0.093 -0.433 -0.897
 CDTJune/22/2021 14:20:20:205,xyz_acc:-0.091 -0.433 -0.897
 CDTJune/22/2021 14:20:20:303,xyz_acc:-0.095 -0.435 -0.894
 CDTJune/22/2021 14:20:21:383,xyz_acc:-0.096 -0.437 -0.891
 CDTJune/22/2021 14:20:21:541,xyz_acc:-0.094 -0.437 -0.896
 CDTJune/22/2021 14:20:21:562,xyz_acc:-0.091 -0.429 -0.897
 CDTJune/22/2021 14:20:21:689,xyz_acc:-0.095 -0.44 -0.893
 CDTJune/22/2021 14:20:21:813,xyz_acc:-0.088 -0.437 -0.898
 CDTJune/22/2021 14:20:21:866,xyz_acc:-0.093 -0.439 -0.893
 CDTJune/22/2021 14:20:21:14,xyz_acc:-0.093 -0.432 -0.893
 CDTJune/22/2021 14:20:21:106,xyz_acc:-0.094 -0.435 -0.893
 CDTJune/22/2021 14:20:21:166,xyz_acc:-0.096 -0.443 -0.899
 CDTJune/22/2021 14:20:22:368,xyz_acc:-0.094 -0.425 -0.899
 CDTJune/22/2021 14:20:22:438,xyz_acc:-0.097 -0.425 -0.887
 CDTJune/22/2021 14:20:22:491,xyz_acc:-0.046 -0.47 -0.91
 CDTJune/22/2021 14:20:22:652,xyz_acc:-0.11 -0.426 -0.863
 CDTJune/22/2021 14:20:22:710,xyz_acc:-0.069 -0.481 -0.9
 CDTJune/22/2021 14:20:22:857,xyz_acc:-0.077 -0.47 -0.865
 CDTJune/22/2021 14:20:22:912,xyz_acc:-0.094 -0.485 -0.868
 CDTJune/22/2021 14:20:36:47,xyz_acc:-0.08 -0.478 -0.864
 CDTJune/22/2021 14:20:36:233,xyz_acc:-0.009 -0.339 -0.89
 CDTJune/22/2021 14:20:37:321,xyz_acc:-0.091 -0.473 -0.877
 CDTJune/22/2021 14:20:37:327,xyz_acc:-0.036 -0.46 -0.892
 CDTJune/22/2021 14:20:37:749,xyz_acc:-0.109 -0.475 -0.868
 CDTJune/22/2021 14:20:37:783,xyz_acc:0.007 -0.518 -0.861
 CDTJune/22/2021 14:20:37:785,xyz_acc:-0.233 -0.456 -0.863
 CDTJune/22/2021 14:20:37:792,xyz_acc:0.003 -0.435 -0.909
 CDTJune/22/2021 14:20:37:798,xyz_acc:-0.087 -0.474 -0.875
 CDTJune/22/2021 14:20:37:806,xyz_acc:-0.069 -0.483 -0.879
 CDTJune/22/2021 14:20:37:854,xyz_acc:-0.08 -0.449 -0.891
 CDTJune/22/2021 14:20:37:917,xyz_acc:-0.079 -0.46 -0.889
